"Gender","ESCS","METASUM","HOMEPOS","ICTRES","JOYREAD","PV1READ"
2,0.2448,0.5058,0.0976,-0.3586,-0.3675,482.42
2,-0.1017,-2.0098,-0.2419,-0.3586,-0.8022,472.16
2,0.5569,-0.752,-0.2419,-0.3586,0.1798,509.83
2,-1.1339,0.0865,-1.2566,-1.1171,-1.2973,494.04
2,0.6852,-2.0098,0.2843,-1.1171,0.1798,542.46
2,0.4732,-2.0098,1.5475,1.2041,-0.9169,411.55
2,0.342,0.5058,0.2843,-0.3586,-0.8022,495.08
2,0.1901,-2.0098,-0.2419,-1.1171,-0.8022,465.58
1,-0.5006,-2.0098,0.4835,0.3453,-0.5824,324.1
2,1.0129,0.0865,-0.2419,1.2041,1.118,622.07
1,1.0773,1.3443,0.9439,-0.3586,1.289,611.03
1,-0.3583,-1.5905,-0.6956,-0.3586,0.8127,671.57
2,1.2195,0.5058,0.7021,1.2041,0.5421,646.76
1,1.0284,0.5058,0.2843,1.2041,0.8127,597.21
1,1.1568,1.3443,1.5475,1.2041,0.2959,660.29
1,1.0773,-0.752,0.9439,0.3453,-0.6909,513.72
1,0.8925,0.5058,0.9439,0.3453,1.118,721.77
1,2.3481,0.5058,2.5602,1.2041,1.289,700.56
1,1.2885,-2.0098,0.9439,1.2041,1.6882,668.87
1,1.7172,0.5058,1.9644,0.3453,0.6743,679.99
1,1.5291,-0.3327,1.2196,0.3453,1.118,648.05
2,0.8661,-1.1713,0.9439,1.2041,-1.0365,546.15
2,-0.1557,0.925,-0.978,0.3453,-0.6909,563.55
2,0.5067,0.0865,0.7021,1.2041,-0.2604,655.18
2,2.1786,0.0865,3.7374,1.2041,0.2959,655.74
2,1.104,0.925,1.5475,1.2041,0.417,615.17
1,-0.6223,0.0865,-0.6956,-0.3586,-0.5824,433.25
1,-0.3662,-1.1713,-1.1173,-1.8035,-0.8022,569.01
1,-0.9187,-2.0098,-0.2419,-0.3586,-0.5824,423.24
1,-1.7323,-1.5905,-1.5409,-1.1171,0.9601,533.98
1,-0.4447,-1.5905,-0.978,-1.1171,0.2959,498.79
1,-0.1003,0.5058,-0.2419,0.3453,-0.2604,560.35
1,0.1065,0.925,0.4835,-0.3586,0.9601,518.57
1,-0.1187,-0.3327,-0.5495,-0.3586,1.289,496.72
1,0.1128,-0.3327,0.0976,0.3453,1.289,542.72
1,0.4532,0.5058,0.0976,1.2041,0.5421,580.45
1,-0.1557,0.5058,-0.978,-0.3586,-0.2604,512.21
1,0.0762,0.925,-1.3978,-0.3586,0.1798,598.96
2,-0.7339,-2.0098,-0.2419,0.3453,0.5421,386.94
2,-0.3919,-2.0098,-0.978,-0.3586,0.2959,478.25
2,-0.0824,-0.752,0.7021,0.3453,1.118,486.59
2,-0.5103,-0.752,-0.0765,1.2041,-0.4746,545.11
2,1.0284,-0.3327,0.2843,1.2041,0.6743,588.64
2,-0.0462,-0.3327,-0.8378,-0.3586,NA,486.34
2,0.9717,-1.5905,0.9439,0.3453,0.5421,495.88
2,-0.7643,0.0865,-1.2566,-0.3586,-1.2973,517.29
2,-0.0223,0.0865,-0.978,-1.1171,-0.5824,455.32
1,0.322,0.925,-0.8378,-0.3586,-0.2604,638.68
1,0.6908,-0.3327,0.0976,0.3453,-0.3675,518.88
1,1.2203,NA,1.3067,1.1957,0.1485,496.8
1,0.1547,-0.3327,0.9439,0.3453,0.417,492.19
1,1.6947,1.3443,0.7021,0.3453,0.1798,608.49
1,-1.5262,-2.0098,-0.5495,-0.3586,0.0665,533.82
1,-0.3563,0.0865,-0.5495,-0.3586,-0.1533,495.13
1,1.5027,0.925,1.2196,1.2041,1.289,669.82
1,0.2576,-0.3327,-0.3986,-0.3586,0.417,436.9
1,1.3741,1.3443,2.5602,1.2041,0.9601,696.83
1,0.4468,-1.1713,1.5475,1.2041,-0.5824,452.63
1,1.6908,1.3443,1.9644,1.2041,1.6882,614.85
2,-0.0984,1.3443,0.0976,0.3453,-0.0441,496.77
2,0.6318,0.0865,0.4835,0.3453,1.9344,606.76
2,1.8201,1.3443,2.5602,1.2041,0.6743,542.94
2,1.0612,-1.1713,-0.8378,0.3453,-0.1533,426.54
2,0.8925,0.925,0.9439,1.2041,0.1798,671.53
2,0.9193,1.3443,1.5475,1.2041,0.2959,517.53
2,NA,0.5058,-1.2566,-1.1171,-0.6909,497.73
2,-0.9488,0.5058,0.2843,1.2041,1.4768,659.27
2,0.4212,0.5058,0.2843,-0.3586,-1.1624,546.15
1,0.0992,0.5058,-0.3986,-0.3586,1.118,575.29
1,-0.7251,-0.3327,-1.688,-1.1171,-0.4746,365.33
1,-0.9313,-1.5905,-1.3978,-1.8035,-0.1533,393.53
1,-0.1003,-1.1713,-0.2419,-0.3586,0.6743,544.78
1,-0.3325,-0.752,0.0396,0.3453,0.6743,379.7
1,-0.8171,0.5058,-1.2566,-0.3586,1.6882,634.71
1,0.0317,0.5058,-0.2419,-0.3586,0.1798,605.55
1,0.7591,0.5058,-0.3986,1.2041,-0.4746,465.26
1,0.054,1.3443,-1.2566,-1.8035,0.6743,508.95
1,0.7591,0.925,-0.3986,-0.3586,0.2959,330.93
1,-0.6704,NA,-1.688,-2.7224,1.6882,384.55
1,0.902,1.3443,0.0976,-1.1171,0.417,696.67
1,-0.3272,-0.752,-0.5495,-1.1171,-2.072,488.78
1,-0.1769,1.3443,0.7021,0.3453,-0.0441,604.44
1,-0.891,0.925,-0.0765,0.3453,1.6882,654.88
1,-0.6109,0.0865,-0.3986,-1.1171,0.2959,520.95
1,-0.9807,-1.5905,0.0976,-0.3586,-0.9169,420.22
